current;S;L(cat);N;L (mm);W (mm);A (mm);H (mm);H(>5mm);CSF (LxW);CSF (A);CSF(>5mm);CSF(LxW+5mm));D;category;PT;
Center North Atlantic Gyre;21;1mm (AEW);75;3,354;2,431;5,302;1,762;;0,617067752;0,765221208;;0,617067752;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);76;4,06;2,348;6,861;1,358;;0,4398029;0,518413666;;0,4398029;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);77;3,077;2,388;4,634;1,853;;0,683691592;0,860920668;;0,683691592;0,875;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);78;2,691;1,642;3,163;1,002;;0,47663857;0,563356114;;0,47663857;0,875;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);79;3,983;2,687;7,619;1,813;;0,554097308;0,656713644;;0,554097308;0,875;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);80;3,692;2,239;5,369;1,358;;0,472268089;0,586002937;;0,472268089;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);81;6,154;2,789;12,341;1,264;;0,305096014;0,359802652;;0,305096014;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);82;3,022;2,027;4,01;1,36;;0,549337103;0,678954781;;0,549337103;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);83;3,337;2,577;5,324;1,99;;0,678636662;0,862489084;;0,678636662;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);84;4,139;2,914;8,242;2,052;;0,590732931;0,71460716;;0,590732931;0,875;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);85;5,425;2,29;8,599;0,967;;0,274254404;0,329645573;;0,274254404;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);86;3,695;2,491;5,681;1,679;;0,55352715;0,704564274;;0,55352715;0,875;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);87;2,407;1,493;2,584;0,926;;0,488512382;0,576099198;;0,488512382;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);88;2,607;1,847;3,386;1,309;;0,596332936;0,711130463;;0,596332936;0,875;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);89;1,888;1,343;1,804;0,955;;0,599944442;0,711265541;;0,599944442;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);90;3,731;2,388;5,948;1,528;;0,512051462;0,626697433;;0,512051462;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);91;3,943;2,446;6,928;1,517;;0,488589932;0,576477271;;0,488589932;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);92;2,484;2,18;3,698;1,913;;0,822161911;0,99489659;;0,822161911;0,875;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);93;3,731;2,785;7,374;2,079;;0,64491121;0,76555004;;0,64491121;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);94;2,36;1,791;2,718;1,359;;0,661112509;0,824431245;;0,661112509;0,875;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);95;3,436;2,824;6,906;2,321;;0,745104705;0,883207895;;0,745104705;0,935;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;96;2,063;1,419;1,867;0,976;;0,570459414;0,714320977;;0,570459414;0,935;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;97;1,511;1,216;1,177;0,979;;0,721944257;0,902016442;;0,721944257;0,935;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;98;1,352;0,949;0,921;0,666;;0,588077118;0,694106191;;0,588077118;0,875;fragment;PP;
Center North Atlantic Gyre;21;0.5mm;99;1,388;0,791;0,757;0,451;;0,430210025;0,518102349;;0,430210025;0,935;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;100;1,912;1,211;1,325;0,767;;0,504062493;0,666334745;;0,504062493;0,875;fragment;PP;
Center North Atlantic Gyre;21;0.5mm;101;1,999;1,102;1,544;0,608;;0,409310797;0,488907553;;0,409310797;0,935;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;102;1,476;1,179;1,118;0,942;;0,713906229;0,890677232;;0,713906229;0,875;fragment;PP;
Center North Atlantic Gyre;21;0.5mm;103;1,339;1,08;1,033;0,871;;0,724377192;0,857070946;;0,724377192;0,875;fragment;PP;
Center North Atlantic Gyre;21;0.5mm;104;1,814;0,991;1,451;0,541;;0,403789069;0,449444759;;0,403789069;0,935;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;105;1,698;1,043;1,335;0,641;;0,48141535;0,554485633;;0,48141535;0,875;fragment;PP;
Center North Atlantic Gyre;21;0.5mm;106;1,829;0,986;1,268;0,532;;0,395817338;0,472041843;;0,395817338;0,875;fragment;PP;
Center North Atlantic Gyre;21;0.5mm;107;1,633;1,098;1,309;0,738;;0,551346006;0,645280695;;0,551346006;0,935;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;108;0,846;0,505;0,315;0,301;;0,461191742;0,537102429;;0,461191742;na;fragment;*PE;
Center North Atlantic Gyre;21;0.5mm;109;1,189;0,968;0,753;0,788;;0,734581952;0,908178825;;0,734581952;na;fragment;*PP;
Center North Atlantic Gyre;21;0.5mm;110;1,766;0,694;0,98;0,009;;0,007768253;0,008687312;;0,007768253;na;film;*PE;
Center North Atlantic Gyre;21;0.5mm;111;2,179;1,32;1,915;0,009;;0,005070875;0,006214613;;0,005070875;0,935;film;PE;
Center North Atlantic Gyre;21;0.5mm;112;1,29;1,147;1,047;1,02;;0,838417938;0,996698454;;0,838417938;0,935;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;113;3,014;1,047;2,388;0,364;;0,204741156;0,235360162;;0,204741156;0,935;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;114;2,552;1,328;2,007;0,009;;0,004671529;0,006070504;;0,004671529;0,935;film;PE;
Center North Atlantic Gyre;21;0.5mm;115;2,568;1,296;2,727;0,654;;0,358521309;0,396070425;;0,358521309;0,935;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;116;2,165;1,792;2,593;1,483;;0,753043661;0,921121356;;0,753043661;0,935;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;117;1,55;1,123;1,102;0,814;;0,616697357;0,775063022;;0,616697357;0,935;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;118;1,55;1,167;1,353;0,879;;0,653294101;0,755372406;;0,653294101;na;fragment;*undetermined;
Center North Atlantic Gyre;21;0.5mm;119;1,297;0,962;0,822;0,714;;0,638781962;0,786999143;;0,638781962;0,875;fragment;PP;
Center North Atlantic Gyre;21;0.5mm;120;1,676;1,435;1,554;1,229;;0,792258359;0,985608138;;0,792258359;na;fragment;*PP;
Center North Atlantic Gyre;21;0.5mm;121;1,958;1,004;1,288;0,515;;0,367182131;0,453624818;;0,367182131;0,935;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;122;2,319;1,109;1,991;0,53;;0,330709139;0,375860523;;0,330709139;0,935;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;123;1,809;1,205;1,631;0,009;;0,005824862;0,006733975;;0,005824862;0,935;film;PE;
Center North Atlantic Gyre;21;0.5mm;124;1,337;1,063;1,019;0,009;;0,007213834;0,008519446;;0,007213834;0,875;film;PP;
Center North Atlantic Gyre;21;0.5mm;125;1,291;0,796;0,749;0,491;;0,484150337;0,567099134;;0,484150337;0,935;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;126;1,712;1,083;1,244;0,685;;0,503137914;0,614246885;;0,503137914;0,875;fragment;PP;
Center North Atlantic Gyre;21;0.5mm;127;0,989;0,775;0,507;0,607;;0,693678312;0,852909857;;0,693678312;0,875;fragment;PP;
Center North Atlantic Gyre;21;0.5mm;128;1,185;0,856;0,637;0,618;;0,613950167;0,774746214;;0,613950167;0,875;fragment;PP;
Center North Atlantic Gyre;21;5mm;129;7,313;0,83;3,297;0,83;0,25;0,184893744;0,137683068;0,184893744;0,184893744;0,935;line;PE;
Center North Atlantic Gyre;21;5mm;130;4,03;0,83;1,582;0,83;0,25;0,249067741;0,198763561;0,249067741;0,249067741;0,875;line;PP;
Center North Atlantic Gyre;21;5mm;131;3,134;0,83;0,936;0,83;0,25;0,282436297;0,258405697;0,282436297;0,282436297;0,935;line;PE;
Center North Atlantic Gyre;21;5mm;132;33,601;0,83;23,325;0,83;0,25;0,086256911;0,051764161;0,086256911;0,086256911;0,935;line;PE;
Center North Atlantic Gyre;21;5mm;133;27,816;0,83;13,408;0,83;0,25;0,094803128;0,068274418;0,094803128;0,094803128;0,935;line;PE;
Center North Atlantic Gyre;21;5mm;134;16,098;0,83;9,876;0,83;0,25;0,124618937;0,079551701;0,124618937;0,124618937;0,935;line;PE;
Center North Atlantic Gyre;21;5mm;135;6,475;0,83;6,639;0,83;0,25;0,196494373;0,097026122;0,196494373;0,196494373;0,935;line;PE;
Center North Atlantic Gyre;21;5mm;136;22,011;0,83;10,959;0,83;0,25;0,106573718;0,075518707;0,106573718;0,106573718;0,935;line;PE;
Center North Atlantic Gyre;21;5mm;137;26,734;0,83;17,87;0,83;0,25;0,096702574;0,059139511;0,096702574;0,096702574;0,935;line;PE;
Center North Atlantic Gyre;21;5mm;138;19,868;0,83;10,308;0,83;0,25;0,112174187;0,077866885;0,112174187;0,112174187;0,935;line;PE;
Center North Atlantic Gyre;21;5mm;139;20,973;0,83;13,296;0,83;0,25;0,109179154;0,068561373;0,109179154;0,109179154;0,935;line;PE;
Center North Atlantic Gyre;21;5mm;140;38,256;0,83;22,692;0,83;0,25;0,080838868;0,052481184;0,080838868;0,080838868;0,935;line;PE;
Center North Atlantic Gyre;21;5mm;141;8,172;0,83;5,089;0,83;0,25;0,17490645;0,110821439;0,17490645;0,17490645;0,935;line;PE;
Center North Atlantic Gyre;21;5mm;142;16,596;0,83;13;0,83;0,25;0,122734962;0,069337525;0,122734962;0,122734962;0,875;line;PP;
Center North Atlantic Gyre;21;5mm;143;19,198;0,83;14,84;0,83;0,25;0,11411481;0,064896766;0,11411481;0,11411481;0,875;line;PP;
Center North Atlantic Gyre;22;5mm;144;21;13;na;0,009;0,009;0,000520496;na;0,000544705;0,000544705;0,935;film;PE;
Center North Atlantic Gyre;22;5mm;145;9;7,5;na;0,009;0,009;0,001046759;na;0,001095445;0,001095445;0,935;film;PE;
Center North Atlantic Gyre;22;5mm;146;12;10;na;0,009;0,009;0,000785069;na;0,000821584;0,000821584;0,935;film;PE;
Center North Atlantic Gyre;22;5mm;147;8;6;na;0,009;0,009;0,001241303;na;0,001299038;0,001299038;0,935;film;PE;
Center North Atlantic Gyre;22;5mm;148;10;4;na;0,009;0,009;0,001359779;na;0,001423025;0,001423025;0,935;film;PE;
Center North Atlantic Gyre;22;5mm;149;12;7;na;0,009;0,009;0,000938337;na;0,000981981;0,000981981;0,935;film;PE;
Center North Atlantic Gyre;22;5mm;150;8;5;na;0,009;0,009;0,001359779;na;0,001423025;0,001423025;0,935;film;PE;
Center North Atlantic Gyre;22;5mm;151;6;4;na;2,667;1;0,544331054;na;0,204124145;0,204124145;0,935;fragment;PE;
Center North Atlantic Gyre;22;5mm;152;7;7;na;7;3,5;1;na;0,5;0,5;0,935;fragment;PE;
Center North Atlantic Gyre;22;5mm;153;10,5;6,5;na;4,024;1;0,487064062;na;0,121045507;0,121045507;0,935;fragment;PE;
Center North Atlantic Gyre;22;5mm;154;17;11;na;7,118;4;0,520493902;na;0,29250897;0,29250897;0,935;fragment;PE;
Center North Atlantic Gyre;22;5mm;155;7;4;na;2,286;1;0,431959398;na;0,188982237;0,188982237;0,935;fragment;PE;
Center North Atlantic Gyre;22;5mm;156;10;9;na;8,1;1;0,853814968;na;0,105409255;0,105409255;0,935;fragment;PE;
Center North Atlantic Gyre;22;5mm;157;6;5;na;4,167;1;0,760725774;na;0,182574186;0,182574186;0,935;fragment;PE;
Center North Atlantic Gyre;22;5mm;158;6,5;4;na;2,462;0,5;0,48274741;na;0,098058068;0,098058068;0,935;fragment;PE;
Center North Atlantic Gyre;22;5mm;159;6;4;na;2,667;1;0,544331054;na;0,204124145;0,204124145;0,935;fragment;PE;
Center North Atlantic Gyre;22;5mm;160;9;6;na;4;2;0,544331054;na;0,272165527;0,272165527;0,935;fragment;PE;
