current;S;L(cat);N;L (mm);W (mm);A (mm);H (mm);H(>5mm);category;PT;
Center North Atlantic Gyre;22;2mm;181;3,168;2,351;5,452;1,745;;fragment;PE;
Center North Atlantic Gyre;22;2mm;182;4,653;3,478;10,660;2,600;;fragment;PE;
Center North Atlantic Gyre;22;2mm;183;4,517;2,761;8,161;1,688;;fragment;PE;
Center North Atlantic Gyre;22;2mm;184;4,124;2,673;6,864;1,733;;fragment;PE;
Center North Atlantic Gyre;22;2mm;185;4,601;2,839;9,624;1,752;;fragment;PE;
Center North Atlantic Gyre;22;2mm;186;3,014;2,472;4,975;2,027;;fragment;PE;
Center North Atlantic Gyre;22;2mm;187;4,528;3,525;11,975;2,744;;fragment;PE;
Center North Atlantic Gyre;22;2mm;188;4,862;2,861;10,416;1,684;;fragment;PE;
Center North Atlantic Gyre;22;2mm;189;5,539;3,687;15,398;2,454;;fragment;PE;
Center North Atlantic Gyre;22;2mm;190;4,905;2,750;9,958;1,542;;fragment;PE;
Center North Atlantic Gyre;22;2mm;191;3,633;2,670;7,002;1,962;;fragment;PE;
Center North Atlantic Gyre;22;2mm;192;4,188;3,393;10,108;2,749;;fragment;PE;
Center North Atlantic Gyre;22;2mm;193;4,905;3,879;12,126;3,068;;fragment;PP;
Center North Atlantic Gyre;22;2mm;194;5,255;3,512;14,395;2,347;;fragment;PE;
Center North Atlantic Gyre;22;2mm;195;3,517;2,441;6,300;1,694;;fragment;PE;
Center North Atlantic Gyre;22;2mm;196;3,286;2,688;6,124;2,199;;fragment;PE;
Center North Atlantic Gyre;22;2mm;197;3,496;2,499;6,793;1,786;;fragment;PE;
Center North Atlantic Gyre;22;2mm;198;5,162;2,980;10,930;1,720;;fragment;PE;
Center North Atlantic Gyre;22;2mm;199;3,785;2,604;6,953;1,791;;fragment;PE;
Center North Atlantic Gyre;22;2mm;200;4,034;3,393;10,059;2,854;;fragment;PE;
Center North Atlantic Gyre;22;2mm;201;4,033;2,905;8,931;2,092;;fragment;undetermined;
Center North Atlantic Gyre;22;2mm;202;5,443;3,612;10,148;2,397;;fragment;PE;
Center North Atlantic Gyre;22;2mm;203;4,158;2,775;8,097;0,009;0,009;film;PE;
Center North Atlantic Gyre;22;2mm;204;2,510;1,948;3,345;0,009;0,009;film;PE;
Center North Atlantic Gyre;22;2mm;205;3,084;2,503;5,353;0,009;0,009;film;PE;
Center North Atlantic Gyre;22;2mm;206;4,251;3,224;9,279;0,009;0,009;film;PE;
Center North Atlantic Gyre;22;2mm;207;3,125;1,916;4,188;0,009;0,009;film;PE;
Center North Atlantic Gyre;22;2mm;208;5,702;2,277;9,936;0,009;0,009;film;PE;
Center North Atlantic Gyre;22;2mm;209;7,307;4,272;22,476;0,009;0,009;film;PE;
Center North Atlantic Gyre;22;2mm;210;5,748;3,494;12,671;0,009;0,009;film;PE;
Center North Atlantic Gyre;22;2mm;211;4,829;3,715;10,357;foutje;;film ;PE;
Center North Atlantic Gyre;22;2mm;212;5,240;3,193;11,839;foutje;;film ;PE;
Center North Atlantic Gyre;22;2mm;213;6,402;4,226;16,143;foutje;;film ;PE;
Center North Atlantic Gyre;22;2mm;214;3,823;2,971;7,183;0,009;0,009;film;PE;
Center North Atlantic Gyre;22;2mm;215;7,973;3,145;9,347;0,009;0,009;film;PE;
Center North Atlantic Gyre;22;2mm;216;4,192;2,656;8,515;0,009;0,009;film;PE;
Center North Atlantic Gyre;22;2mm;217;4,737;3,195;9,732;0,009;0,009;film;PE;
Center North Atlantic Gyre;22;2mm;218;4,693;2,950;9,387;0,009;0,009;film;PE;
Center North Atlantic Gyre;22;1mm (FS);219;4,374;1,93;5,651;0,0086;;film;PE;
Center North Atlantic Gyre;22;1mm (FS);220;3,488;1,942;5,207;0,0086;;film;PE;
Center North Atlantic Gyre;22;1mm (FS);221;2,945;2,307;4,408;0,0086;;film;PE;
Center North Atlantic Gyre;22;1mm (FS);222;3,092;2,097;4,45;0,0086;;film;PE;
Center North Atlantic Gyre;22;1mm (FS);223;2,044;1,763;2,396;0,0086;;film;PE;
Center North Atlantic Gyre;22;1mm (FS);224;2,992;2,287;4,343;0,0086;;film;PE;
Center North Atlantic Gyre;22;1mm (FS);225;3,942;2,462;6,627;1,537657027;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);226;2,326;2,092;3,266;1,881540843;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);227;2,968;2,154;4,479;1,563246631;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);228;2,155;1,615;2,675;1,210313225;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);229;2,515;1,824;3;1,32285328;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);230;3,416;2,281;4,509;1,523115047;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);231;2,929;2,154;3,876;1,584061454;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);232;2,204;1,831;2,704;1,521125681;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);233;2,314;1,575;2,58;1,072007347;;fragment;PE;
