current,S,,N,L (mm),W (mm),A (mm),H (mm),H(>5mm),CSF (LxW),CSF (A),CSF(>5mm),D,category,PT,,,,,MATERIAAL OPTIES,,,,ANTWOORD OPTIES,,,POLYMER OPTIES,
Center North Atlantic Gyre,21,,109,2.407,1.493,2.584,0.926,,0.488512382,0.576099198,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,110,2.607,1.847,3.386,1.309,,0.596332936,0.711130463,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,111,1.888,1.343,1.804,0.955,,0.599944442,0.711265541,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,112,3.731,2.388,5.948,1.528,,0.512051462,0.626697433,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,113,3.943,2.446,6.928,1.517,,0.488589932,0.576477271,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,114,2.484,2.180,3.698,1.913,,0.822161911,0.99489659,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,115,3.731,2.785,7.374,2.079,,0.64491121,0.76555004,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,116,2.360,1.791,2.718,1.359,,0.661112509,0.824431245,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,117,3.436,2.824,6.906,2.321,,0.745104705,0.883207895,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,0.5mm,118,2.063,1.419,1.867,0.976,,0.570459414,0.714320977,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,119,1.511,1.216,1.177,0.979,,0.721944257,0.902016442,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,120,1.352,0.949,0.921,0.666,,0.588077118,0.694106191,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,121,1.388,0.791,0.757,0.451,,0.430210025,0.518102349,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,122,1.912,1.211,1.325,0.767,,0.504062493,0.666334745,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,123,1.999,1.102,1.544,0.608,,0.409310797,0.488907553,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,124,1.476,1.179,1.118,0.942,,0.713906229,0.890677232,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,125,1.339,1.080,1.033,0.871,,0.724377192,0.857070946,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,126,1.814,0.991,1.451,0.541,,0.403789069,0.449444759,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,127,1.698,1.043,1.335,0.641,,0.48141535,0.554485633,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,128,1.829,0.986,1.268,0.532,,0.395817338,0.472041843,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,129,1.633,1.098,1.309,0.738,,0.551346006,0.645280695,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,130,0.846,0.505,0.315,0.301,,0.461191742,0.537102429,,na,fragment,*PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,131,1.189,0.968,0.753,0.788,,0.734581952,0.908178825,,na,fragment,*PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,132,1.766,0.694,0.980,0.009,,0.007768253,0.008687312,,na,film,*PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,133,2.179,1.320,1.915,0.009,,0.005070875,0.006214613,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,134,1.290,1.147,1.047,1.020,,0.838417938,0.996698454,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,135,3.014,1.047,2.388,0.364,,0.204741156,0.235360162,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,136,2.552,1.328,2.007,0.009,,0.004671529,0.006070504,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,137,2.568,1.296,2.727,0.654,,0.358521309,0.396070425,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,138,2.165,1.792,2.593,1.483,,0.753043661,0.921121356,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,139,1.550,1.123,1.102,0.814,,0.616697357,0.775063022,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,140,1.550,1.167,1.353,0.879,,0.653294101,0.755372406,,na,fragment,*undetermined,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,141,1.297,0.962,0.822,0.714,,0.638781962,0.786999143,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,142,1.676,1.435,1.554,1.229,,0.792258359,0.985608138,,na,fragment,*PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,143,1.958,1.004,1.288,0.515,,0.367182131,0.453624818,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,144,2.319,1.109,1.991,0.530,,0.330709139,0.375860523,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,145,1.809,1.205,1.631,0.009,,0.005824862,0.006733975,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,146,1.337,1.063,1.019,0.009,,0.007213834,0.008519446,,0.875,film,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,147,1.291,0.796,0.749,0.491,,0.484150337,0.567099134,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,148,1.712,1.083,1.244,0.685,,0.503137914,0.614246885,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,149,0.989,0.775,0.507,0.607,,0.693678312,0.852909857,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,150,1.185,0.856,0.637,0.618,,0.613950167,0.774746214,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,line,151,7.313,0.250,3.297,0.250,,0.184893744,0.137683068,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,152,4.030,0.250,1.582,0.250,,0.249067741,0.198763561,,0.875,line,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,153,3.134,0.250,0.936,0.250,,0.282436297,0.258405697,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,154,33.601,0.250,23.325,0.250,,0.086256911,0.051764161,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,155,27.816,0.250,13.408,0.250,,0.094803128,0.068274418,,0.935,line,PE,,,,,,,,,,,,,
