"current","sample","length","width","height_est","height_obs","category","poly_type","Two_dim","Film","Line"
"Center North Atlantic Gyre",29,1.782,1.081,0.656,NA,"Fragment","Other",0,0,0
"Center North Atlantic Gyre",29,2.536,0.899,0.319,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.82,1.259,0.871,NA,"Fragment","Other",0,0,0
"Center North Atlantic Gyre",29,1.26,1.142,1.035,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,5.539,1.038,0.195,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.438,1.19,0.412,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.373,1.2,1.049,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.369,1.095,0.876,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.214,1.502,1.019,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.975,1.426,1.03,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.061,1.642,1.308,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.591,0.931,0.545,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.859,1.467,1.158,NA,"Fragment",NA,0,0,0
"Center North Atlantic Gyre",29,1.139,0.93,0.759,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.655,1.316,1.046,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,4.48809523809524,0.25,0.25,NA,"Line","PP",1,0,1
"Center North Atlantic Gyre",29,1.769,1.151,0.749,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.776,1.2,0.811,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.599,1.038,0.674,NA,"Fragment","PP",0,0,0
"Center North Atlantic Gyre",29,2.255,1.428,0.904,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.852,1.557,1.309,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.942,1.621,1.353,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.013,1.259,0.787,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.169,1.311,0.792,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.686,1.259,0.94,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.351,0.659,0.185,NA,"Fragment","Other",0,0,0
"Center North Atlantic Gyre",29,2.069,1.211,0.709,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.157,1.662,1.281,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.956,1.478,1.117,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.179,1.474,0.997,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.655,1.082,0.707,NA,"Fragment","PP",0,0,0
"Center North Atlantic Gyre",29,1.765,1.391,1.096,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.278,0.876,0.6,NA,"Fragment","PP",0,0,0
"Center North Atlantic Gyre",29,1.489,1.317,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",29,1.932,1.463,1.108,NA,"Fragment",NA,0,0,0
